id,device_name,location,delta_kwh,cumulative_wh,reading_day,timestamp
1,Climatisation 6,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,847374,2026-02-04,2026-02-04 14:08:32.105487
2,Climatisation 7,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,6683222,2026-02-04,2026-02-04 14:08:32.105487
3,Climatisation 4,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,4237777,2026-02-04,2026-02-04 14:08:32.105487
4,Climatisation 5,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0.419,6300297,2026-02-04,2026-02-04 14:08:32.105487
5,Climatiseur de pièce 8,c2debd50-00d4-4d66-880e-a3572309c4bd,0,1138393,2026-02-04,2026-02-04 14:08:32.105487
6,Climatiseur de pièce 4,c2debd50-00d4-4d66-880e-a3572309c4bd,0,1561101,2026-02-04,2026-02-04 14:08:32.105487
7,Open space 3,664b5fe4-aea4-4495-80cc-631d73f149e1,0,927194,2026-02-04,2026-02-04 14:08:32.105487
8,Climatiseur LT_1,c2debd50-00d4-4d66-880e-a3572309c4bd,0.002,3327196,2026-02-04,2026-02-04 14:08:32.105487
9,Climatisation 14,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,2265161,2026-02-04,2026-02-04 14:08:32.105487
10,Climatisation 15,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0.01,3010385,2026-02-04,2026-02-04 14:08:32.105487
11,Climatisation 16,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,590228,2026-02-04,2026-02-04 14:08:32.105487
12,Climatisation 17,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0.011,6825314,2026-02-04,2026-02-04 14:08:32.105487
13,Climatisation 2,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0.001,4698532,2026-02-04,2026-02-04 14:08:32.105487
14,Climatisation 3,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,6145662,2026-02-04,2026-02-04 14:08:32.105487
15,salle reunion startup 1,664b5fe4-aea4-4495-80cc-631d73f149e1,0,366536,2026-02-04,2026-02-04 14:08:32.105487
16,Climatisation 1,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0.001,5137223,2026-02-04,2026-02-04 14:08:32.105487
17,Ext-Saphir-2,c32973b8-842f-447d-ac00-3c5f5884859b,0.06,489023,2026-02-04,2026-02-04 14:08:32.105487
18,Climatiseur de pièce 2,c2debd50-00d4-4d66-880e-a3572309c4bd,0,1425707,2026-02-04,2026-02-04 14:08:32.105487
19,Climatiseur de pièce 11,c2debd50-00d4-4d66-880e-a3572309c4bd,0,666109,2026-02-04,2026-02-04 14:08:32.105487
20,Box_9,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,1147187,2026-02-04,2026-02-04 14:08:32.105487
21,Ext-Saphir-3,c32973b8-842f-447d-ac00-3c5f5884859b,0,614188,2026-02-04,2026-02-04 14:08:32.105487
22,Startup 1,664b5fe4-aea4-4495-80cc-631d73f149e1,0.011,911952,2026-02-04,2026-02-04 14:08:32.105487
23,Climatiseur Café,c2debd50-00d4-4d66-880e-a3572309c4bd,0,3625155,2026-02-04,2026-02-04 14:08:32.105487
24,Box_11,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,216888,2026-02-04,2026-02-04 14:08:32.105487
25,Climatiseur de pièce 13,c2debd50-00d4-4d66-880e-a3572309c4bd,0,500424,2026-02-04,2026-02-04 14:08:32.105487
26,Ext saphir-1,c32973b8-842f-447d-ac00-3c5f5884859b,0,1839084,2026-02-04,2026-02-04 14:08:32.105487
27,Climatiseur Accueil_2,c2debd50-00d4-4d66-880e-a3572309c4bd,0.001,3935346,2026-02-04,2026-02-04 14:08:32.105487
28,Box_7,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0,1102446,2026-02-04,2026-02-04 14:08:32.105487
29,LT2,0b7fa3ad-029c-4e8f-8d16-f64b8cd2cbdd,0.037,6487322,2026-02-04,2026-02-04 14:08:32.105487
